movie_name,movie_rate,genre1,genre2,genre3,genre4,genre5,genre6
雷神3：诸神黄昏 / Thor: Ragnarok,7.4,Action,Fantasy,Adventure,,,
雷神 / Thor,7.1,Action,Fantasy,Adventure,,,
冷山 / Cold Mountain,8.2,Drama,Romance,War,,,
离亲叛众 / The Outcast,8.7,Drama,,,,,
理查德·朱维尔的哀歌 / Richard Jewell,8.2,Drama,Biography,Crime,,,
利刃出鞘 / Knives Out,8.1,Drama,Comedy,Mystery,Crime,,
良医 第二季 / The Good Doctor Season 2,9.1,Drama,,,,,
良医 第一季 / The Good Doctor Season 1,9.2,Drama,,,,,
猎鹰与冬兵 / The Falcon and the Winter Soldier,7.4,Drama,Action,Sci-Fi,Adventure,,
裂缝 / Cracks,8,Drama,Thriller,,,,
流感 / 감기,7.8,Drama,Action,Adventure,,,
流浪地球,7.9,Sci-Fi,Adventure,,,,
龙猫 / となりのトトロ,9.2,Animation,Fantasy,Adventure,,,
龙虾 / The Lobster,7.6,Drama,Comedy,Fantasy,,,
伦敦生活 第二季 / Fleabag Season 2,9.5,Comedy,,,,,
伦敦生活 第一季 / Fleabag Season 1,8.8,Drama,Comedy,,,,
罗小黑战记,8,Action,Animation,Fantasy,,,
骡子 / The Mule,7.9,Drama,Crime,,,,
洛基 第一季 / Loki Season 1,8.5,Action,Sci-Fi,Fantasy,Adventure,,
驴得水,8.3,Drama,Comedy,,,,
,,,,,
,,,,,
绿皮书 / Green Book,8.9,Drama,Comedy,Music,Biography,,
马戏之王 / The Greatest Showman,7.7,Drama,Music,Biography,,,
曼达洛人 第二季 / The Mandalorian Season 2,9.4,Action,Sci-Fi,Adventure,,,
曼达洛人 第三季 / The Mandalorian Season 3,9,Action,Sci-Fi,Fantasy,Adventure,,
曼达洛人 第一季 / The Mandalorian Season 1,9.2,Sci-Fi,Fantasy,,,,
漫长的季节,9.4,Drama,Family,Crime,,,
猫鼠游戏 / Catch Me If You Can,9.1,Drama,Biography,Crime,,,
梅尔罗斯 / Patrick Melrose,9,Drama,,,,,
美国队长2 / Captain America: The Winter Soldier,8,Action,Sci-Fi,Adventure,,,
美国队长3 / Captain America: Civil War,7.9,Action,Sci-Fi,Adventure,,,
美国队长 / Captain America: The First Avenger,7.1,Action,Sci-Fi,Adventure,,,
美丽人生 / La vita è bella,9.6,Drama,Comedy,Romance,War,,
盟军夺宝队 / The Monuments Men,5.5,Drama,Biography,History,War,,
蒙太奇 / 몽타주,8.2,Drama,Thriller,Crime,,,
梦之安魂曲 / Requiem for a Dream,8.8,Drama,,,,,
弥留之国的爱丽丝 第二季 / 今際の国のアリス シーズン2,6.3,Action,Sci-Fi,Mystery,Thriller,Fantasy,
弥留之国的爱丽丝 第一季 / 今際の国のアリス,8,Action,Sci-Fi,Mystery,Thriller,Fantasy,
迷恋荷尔蒙 / Soldier's Girl,8.6,Drama,Romance,,Crime,,
秒速5厘米 / 秒速5センチメートル,8.3,Drama,Romance,Animation,,,
灭绝 / Extinction,5.5,Sci-Fi,Thriller,,,,
名侦探柯南：绯色的子弹 / 名探偵コナン 緋色の弾丸,5.6,Action,Animation,Mystery,Adventure,,
名侦探柯南：绀青之拳 / 名探偵コナン 紺青の拳,5.8,Animation,Mystery,,,,
明日边缘 / Edge of Tomorrow,8.2,Action,Sci-Fi,,,,
明星大侦探互动衍生2之目标人物,8.2,Drama,Comedy,Mystery,Crime,,
摩天大楼,7.9,Mystery,Crime,,,,
模仿犯,7.4,Drama,Mystery,Crime,,,
模仿游戏 / The Imitation Game,8.8,Drama,,Biography,War,,
魔女宅急便 / 魔女の宅急便,8.7,Animation,Fantasy,Adventure,,,
哪吒之魔童降世,8.4,Drama,Comedy,Animation,Fantasy,,
尼罗河上的惨案 / Death on the Nile,5.7,Drama,Mystery,Crime,,,
你的名字。 / 君の名は。,8.5,Drama,Romance,Animation,,,
你好，德古拉 / 안녕 드라큘라,8.5,Drama,,,,,
